Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Operations,Chrome 97.0.4692.99,,,2022-02-04 00:16:59,2022-02-04 00:18:02,1m - 3.287s,PASSED
,,,,,,,
Test Cases/common/Open Google Calculator,Chrome 97.0.4692.99,,,2022-02-04 00:16:59,2022-02-04 00:17:10,10.821s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-04 00:17:00,2022-02-04 00:17:03,3.074s,PASSED
"navigateToUrl(""https://www.google.co.th/"")",Chrome 97.0.4692.99,,,2022-02-04 00:17:03,2022-02-04 00:17:04,1.486s,PASSED
"setText(findTestObject(""Page_Google/input__text""), ""Calculator"")",Chrome 97.0.4692.99,,,2022-02-04 00:17:04,2022-02-04 00:17:05,0.870s,PASSED
"sendKeys(findTestObject(""Page_Google/input__text""), Keys.chord(ENTER))",Chrome 97.0.4692.99,,,2022-02-04 00:17:05,2022-02-04 00:17:09,3.822s,PASSED
Start listener action : sampleAfterTestCase,Chrome 97.0.4692.99,,,2022-02-04 00:17:09,2022-02-04 00:17:10,1.048s,PASSED
,,,,,,,
Test Cases/operations/Verify Plus,Chrome 97.0.4692.99,,,2022-02-04 00:17:10,2022-02-04 00:17:22,11.961s,PASSED
"callTestCase(findTestCase(""common/Plus number""), [:], STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-02-04 00:17:12,2022-02-04 00:17:21,9.103s,PASSED
"verifyElementText(findTestObject(""Page_calculator -  Google/number_input""), ""2"")",Chrome 97.0.4692.99,Check result is equal 2,,2022-02-04 00:17:21,2022-02-04 00:17:21,0.514s,PASSED
Start listener action : sampleAfterTestCase,Chrome 97.0.4692.99,,,2022-02-04 00:17:21,2022-02-04 00:17:22,0.705s,PASSED
,,,,,,,
Test Cases/operations/Verify Minus,Chrome 97.0.4692.99,,,2022-02-04 00:17:22,2022-02-04 00:17:40,17.497s,PASSED
"callTestCase(findTestCase(""common/Minus number""), [:], STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-02-04 00:17:22,2022-02-04 00:17:38,15.541s,PASSED
"verifyElementText(findTestObject(""Page_calculator -  Google/number_input""), ""55555"")",Chrome 97.0.4692.99,Check result is equal 55555,,2022-02-04 00:17:38,2022-02-04 00:17:38,0.371s,PASSED
Start listener action : sampleAfterTestCase,Chrome 97.0.4692.99,,,2022-02-04 00:17:38,2022-02-04 00:17:40,1.158s,PASSED
,,,,,,,
Test Cases/operations/Verify Multiply,Chrome 97.0.4692.99,,,2022-02-04 00:17:40,2022-02-04 00:17:49,9.480s,PASSED
"callTestCase(findTestCase(""common/Multiply number""), [:], STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-02-04 00:17:40,2022-02-04 00:17:47,7.441s,PASSED
"verifyElementText(findTestObject(""Page_calculator -  Google/number_input""), ""25"")",Chrome 97.0.4692.99,Check result is equal 25,,2022-02-04 00:17:47,2022-02-04 00:17:48,0.686s,PASSED
Start listener action : sampleAfterTestCase,Chrome 97.0.4692.99,,,2022-02-04 00:17:48,2022-02-04 00:17:49,0.916s,PASSED
,,,,,,,
Test Cases/operations/Verify Devide,Chrome 97.0.4692.99,,,2022-02-04 00:17:49,2022-02-04 00:18:02,12.897s,PASSED
"callTestCase(findTestCase(""common/Devide number""), [:], STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-02-04 00:17:50,2022-02-04 00:18:01,10.164s,PASSED
"verifyElementText(findTestObject(""Page_calculator -  Google/number_input""), ""10"")",Chrome 97.0.4692.99,Check result is equal 10,,2022-02-04 00:18:01,2022-02-04 00:18:01,0.549s,PASSED
Start listener action : sampleAfterTestCase,Chrome 97.0.4692.99,,,2022-02-04 00:18:01,2022-02-04 00:18:02,0.752s,PASSED
